name,coordinates
Neyland-Thompson Sports Center,"{""rings"": [[[-83.9283584, 35.950671], [-83.9285881, 35.9508824], [-83.9283365, 35.9510583], [-83.9283806, 35.9511001], [-83.9283576, 35.9511327], [-83.9283267, 35.9511632], [-83.9283077, 35.9511517], [-83.9282502, 35.9511909], [-83.9282644, 35.9512076], [-83.9282231, 35.9512302], [-83.9281797, 35.951246], [-83.9280888, 35.9511601], [-83.9280393, 35.9511937], [-83.9280838, 35.9512339], [-83.9280448, 35.9512608], [-83.927968, 35.9511914], [-83.927838, 35.9512776], [-83.927381, 35.9508517], [-83.92736, 35.9508678], [-83.9273269, 35.9508499], [-83.9273002, 35.9508297], [-83.9272773, 35.9508044], [-83.9272658, 35.9507785], [-83.9272846, 35.9507618], [-83.9271118, 35.9506007], [-83.927212, 35.9505233], [-83.9271722, 35.9504875], [-83.9270656, 35.9505599], [-83.9269949, 35.9504949], [-83.9269732, 35.9505085], [-83.9268238, 35.9503708], [-83.9268409, 35.950355], [-83.9267722, 35.9502883], [-83.9267922, 35.9502709], [-83.9267438, 35.9502264], [-83.9267648, 35.9502096], [-83.9267454, 35.9501927], [-83.9267681, 35.950175], [-83.9267465, 35.9501582], [-83.9268046, 35.9501152], [-83.9267623, 35.9500749], [-83.926807, 35.9500429], [-83.9268145, 35.9500465], [-83.9268237, 35.9500399], [-83.9268047, 35.9500193], [-83.9267851, 35.9500351], [-83.9266973, 35.9499543], [-83.9268578, 35.949844], [-83.9268544, 35.9498231], [-83.9271866, 35.9495859], [-83.927196, 35.9495979], [-83.9275716, 35.9493219], [-83.9276694, 35.9494104], [-83.9276039, 35.9494626], [-83.928106, 35.9499306], [-83.9280744, 35.9499576], [-83.9281148, 35.9499917], [-83.9278565, 35.9501776], [-83.9278142, 35.9501386], [-83.9277985, 35.9501493], [-83.9283311, 35.9506454], [-83.928309, 35.9506658], [-83.9283327, 35.9506878], [-83.9283584, 35.950671]]]}"
Nielsen Physics Building,"{""rings"": [[[-83.9258379, 35.956563], [-83.9255034, 35.956703], [-83.9255124, 35.9567172], [-83.925454, 35.9567416], [-83.9254444, 35.9567266], [-83.9253038, 35.9567855], [-83.9252223, 35.9566579], [-83.9252261, 35.9566563], [-83.925215, 35.9566388], [-83.9253561, 35.9565798], [-83.9252935, 35.9564815], [-83.9254491, 35.9564166], [-83.9254555, 35.9564266], [-83.9256849, 35.9563308], [-83.9257454, 35.9564257], [-83.9256104, 35.9564821], [-83.9256164, 35.9564915], [-83.9257551, 35.9564334], [-83.9258379, 35.956563]]]}"
UT Veterinary Medical Center,"{""rings"": [[[-83.9404522, 35.946413], [-83.940608, 35.9463253], [-83.9406607, 35.946392], [-83.9406957, 35.9463718], [-83.9406427, 35.946308], [-83.9411583, 35.9460242], [-83.9413332, 35.9462249], [-83.9408207, 35.9465168], [-83.9407616, 35.9464448], [-83.9407217, 35.9464678], [-83.9407793, 35.946535], [-83.9406585, 35.9466023], [-83.9406485, 35.9465912], [-83.9405986, 35.9466165], [-83.9406056, 35.9466276], [-83.9404729, 35.9467046], [-83.9404844, 35.9467187], [-83.9403733, 35.9467827], [-83.9401359, 35.9464982], [-83.9401477, 35.9464904], [-83.9401037, 35.946439], [-83.9401983, 35.9463845], [-83.9399919, 35.9461269], [-83.9399821, 35.9461205], [-83.93995, 35.9461343], [-83.939908, 35.9460817], [-83.9399336, 35.9460661], [-83.9399057, 35.9460304], [-83.9398273, 35.9460744], [-83.9397088, 35.9459328], [-83.9397877, 35.945887], [-83.9397079, 35.9457967], [-83.9397653, 35.9457664], [-83.939739, 35.9457334], [-83.9397653, 35.945718], [-83.939816, 35.9456916], [-83.9398683, 35.9457474], [-83.9399102, 35.945725], [-83.9398341, 35.9456357], [-83.9399698, 35.945563], [-83.9399399, 35.9455255], [-83.939913, 35.9455414], [-83.9399295, 35.9455608], [-83.9397597, 35.9456567], [-83.93959, 35.9457508], [-83.9395276, 35.945668], [-83.9394992, 35.9456833], [-83.9393876, 35.945549], [-83.9393581, 35.9455649], [-83.9391847, 35.9453577], [-83.939561, 35.9451523], [-83.9394646, 35.9450311], [-83.9391029, 35.9452374], [-83.9388232, 35.9449159], [-83.9395185, 35.9445336], [-83.9395711, 35.9445932], [-83.9395919, 35.9445833], [-83.9397107, 35.9447289], [-83.9396929, 35.9447393], [-83.9397909, 35.9448559], [-83.9397076, 35.9449044], [-83.9397777, 35.9449844], [-83.9398119, 35.9449675], [-83.9398258, 35.9449656], [-83.9398426, 35.9449653], [-83.9398575, 35.9449725], [-83.9398702, 35.9449786], [-83.9398904, 35.945004], [-83.9400448, 35.9449224], [-83.9399883, 35.94485], [-83.9401281, 35.9447743], [-83.9401841, 35.9448405], [-83.9402643, 35.9447969], [-83.9404218, 35.9449741], [-83.9403196, 35.9450336], [-83.940477, 35.9452215], [-83.9404246, 35.9452539], [-83.9404552, 35.9452891], [-83.9405102, 35.9452637], [-83.9405637, 35.9453264], [-83.9406461, 35.9452816], [-83.9408307, 35.9454975], [-83.9407508, 35.9455415], [-83.9409768, 35.9458128], [-83.941063, 35.9457708], [-83.9411717, 35.945905], [-83.940588, 35.9462304], [-83.9403225, 35.9459181], [-83.9402021, 35.9459812], [-83.9401137, 35.9458721], [-83.9401525, 35.9458508], [-83.9401377, 35.945829], [-83.9399982, 35.9459106], [-83.94012, 35.9460515], [-83.9401846, 35.9461323], [-83.9402467, 35.9461015], [-83.940474, 35.9463751], [-83.9404365, 35.9463967], [-83.9404522, 35.946413]]]}"
Perkins Hall,"{""rings"": [[[-83.9242739, 35.9566162], [-83.923993, 35.956729], [-83.9238232, 35.9564519], [-83.9237555, 35.9564791], [-83.9237019, 35.9563915], [-83.9240724, 35.9562428], [-83.9241027, 35.9562921], [-83.9242081, 35.9562498], [-83.9242642, 35.9563414], [-83.9240324, 35.9564344], [-83.9241161, 35.9565709], [-83.9242205, 35.956529], [-83.9242739, 35.9566162]]]}"
Biosystems Engineering & Soil Science Lab,"{""rings"": [[[-83.9405221, 35.9486127], [-83.9402961, 35.9487315], [-83.9395102, 35.9478092], [-83.9397324, 35.947683], [-83.9398261, 35.9477939], [-83.9398759, 35.9477577], [-83.9399168, 35.9478042], [-83.9399602, 35.9477804], [-83.9403752, 35.9482705], [-83.9403727, 35.9482932], [-83.9403305, 35.9482653], [-83.9402577, 35.9482994], [-83.9405221, 35.9486127]]]}"
Reese Hall,"{""rings"": [[[-83.9350158, 35.952841], [-83.9348685, 35.9529164], [-83.9348047, 35.9528276], [-83.9347725, 35.952843], [-83.9347838, 35.9528597], [-83.9344125, 35.9530466], [-83.9343275, 35.9529372], [-83.9346996, 35.9527538], [-83.9347105, 35.9527694], [-83.9347432, 35.952753], [-83.9347219, 35.9527308], [-83.934731, 35.9527267], [-83.934717, 35.9527082], [-83.9347661, 35.9526867], [-83.934702, 35.952602], [-83.9347502, 35.9525761], [-83.9348198, 35.9526603], [-83.9348628, 35.9526363], [-83.9348745, 35.9526558], [-83.934884, 35.9526525], [-83.9349068, 35.9526787], [-83.93493, 35.9526671], [-83.9349201, 35.9526522], [-83.9352939, 35.9524587], [-83.9353031, 35.9524775], [-83.935333, 35.9524619], [-83.9353894, 35.9525389], [-83.9353604, 35.9525526], [-83.9353741, 35.9525697], [-83.9350034, 35.9527561], [-83.9349878, 35.9527397], [-83.9349582, 35.9527546], [-83.9350158, 35.952841]]]}"
South College,"{""rings"": [[[-83.9254075, 35.9573935], [-83.9252706, 35.9574514], [-83.9251059, 35.9571961], [-83.9251479, 35.9571784], [-83.9251409, 35.9571675], [-83.9251907, 35.9571465], [-83.925199, 35.9571594], [-83.9252368, 35.9571434], [-83.9252441, 35.9571403], [-83.9254075, 35.9573935]]]}"
Taylor Law Center,"{""rings"": [[[-83.9294482, 35.9582128], [-83.9294752, 35.9582631], [-83.9293524, 35.9583096], [-83.9293357, 35.9582847], [-83.9293168, 35.9582915], [-83.9293226, 35.9583006], [-83.9293187, 35.9583099], [-83.9293171, 35.9583138], [-83.9292928, 35.9583241], [-83.9292846, 35.9583211], [-83.9292748, 35.9583175], [-83.9292698, 35.9583084], [-83.9292457, 35.958317], [-83.9292605, 35.9583433], [-83.9290857, 35.9584064], [-83.9290513, 35.9584188], [-83.9290139, 35.9584323], [-83.9290106, 35.9584335], [-83.9289707, 35.9583611], [-83.928954, 35.9583308], [-83.9288931, 35.9582203], [-83.9289967, 35.9581835], [-83.9290045, 35.9581807], [-83.9290098, 35.9581806], [-83.9290303, 35.9582162], [-83.9291151, 35.9581842], [-83.9291652, 35.9581654], [-83.9292501, 35.9581335], [-83.9292305, 35.9580992], [-83.9292477, 35.9580928], [-83.9292451, 35.9580884], [-83.9292499, 35.958087], [-83.9293361, 35.958055], [-83.9293423, 35.9580531], [-83.9293444, 35.9580573], [-83.9293579, 35.9580524], [-83.9293771, 35.9580875], [-83.9294021, 35.9581334], [-83.9294431, 35.95812], [-83.9294362, 35.9580779], [-83.9294483, 35.9580578], [-83.9294284, 35.9580408], [-83.9294622, 35.9580163], [-83.9294854, 35.9580007], [-83.9295027, 35.9580167], [-83.9295096, 35.9580138], [-83.9295179, 35.958013], [-83.9295272, 35.9580125], [-83.9295373, 35.9580126], [-83.9295462, 35.9580131], [-83.9295548, 35.9580141], [-83.9295633, 35.9580161], [-83.9295721, 35.9580185], [-83.9294999, 35.957887], [-83.9295592, 35.9578647], [-83.9295567, 35.9578583], [-83.9295892, 35.9578466], [-83.9295861, 35.9578401], [-83.929607, 35.9578323], [-83.9296099, 35.957819], [-83.9296486, 35.9578052], [-83.9296615, 35.9578121], [-83.9296854, 35.9578033], [-83.92969, 35.9578098], [-83.9297227, 35.9577989], [-83.9297264, 35.9578045], [-83.9297858, 35.9577827], [-83.9298722, 35.9579387], [-83.9298357, 35.9579504], [-83.9298673, 35.9580013], [-83.9298459, 35.9580098], [-83.9298584, 35.958032], [-83.9298661, 35.9580288], [-83.9298829, 35.9580587], [-83.9298743, 35.9580622], [-83.9298912, 35.9580922], [-83.9298986, 35.9580887], [-83.9299159, 35.9581188], [-83.9299073, 35.9581224], [-83.9299245, 35.9581523], [-83.9299317, 35.9581492], [-83.9299495, 35.9581788], [-83.9299409, 35.9581826], [-83.9299532, 35.9582035], [-83.9299737, 35.9581963], [-83.9300037, 35.9582467], [-83.9300347, 35.9582336], [-83.9301219, 35.9583912], [-83.9299667, 35.9584473], [-83.9299623, 35.9584383], [-83.9298514, 35.9584762], [-83.9298568, 35.958487], [-83.9297204, 35.9585363], [-83.9295871, 35.9582949], [-83.9295996, 35.9582863], [-83.9294982, 35.9581936], [-83.9294727, 35.9582034], [-83.9294482, 35.9582128]]]}"
Walters Academic Building,"{""rings"": [[[-83.9275261, 35.9574543], [-83.927473, 35.957474], [-83.9273003, 35.9571685], [-83.9273549, 35.9571482], [-83.9272756, 35.957008], [-83.9273722, 35.9569722], [-83.9273588, 35.9569486], [-83.9274322, 35.9569214], [-83.9274453, 35.9569446], [-83.9278246, 35.9568038], [-83.9281549, 35.957387], [-83.9277728, 35.9575288], [-83.927785, 35.9575504], [-83.9277162, 35.9575759], [-83.927704, 35.9575544], [-83.9276037, 35.9575915], [-83.9275261, 35.9574543]]]}"
Tyson Alumni Center,"{""rings"": [[[-83.9303518, 35.9558025], [-83.930283, 35.9558282], [-83.9302831, 35.9558361], [-83.9301393, 35.9558894], [-83.9301288, 35.9558709], [-83.9301063, 35.9558792], [-83.9301034, 35.9558741], [-83.9300602, 35.9558902], [-83.9299928, 35.9557714], [-83.9300339, 35.9557561], [-83.9300299, 35.9557491], [-83.9300518, 35.955741], [-83.9300409, 35.9557219], [-83.9300752, 35.9557091], [-83.9301515, 35.9556806], [-83.9301874, 35.9556672], [-83.9301928, 35.9556766], [-83.9302676, 35.9556486], [-83.9303008, 35.9557067], [-83.9303346, 35.9556941], [-83.9303629, 35.9557437], [-83.9303262, 35.9557575], [-83.9303518, 35.9558025]]]}"
Art and Architecture,"{""rings"": [[[-83.930215, 35.9523643], [-83.9293062, 35.953019], [-83.9291668, 35.9528923], [-83.9292399, 35.9528396], [-83.9291747, 35.9527803], [-83.9290608, 35.9528624], [-83.9291147, 35.9529114], [-83.9290904, 35.9529266], [-83.9289124, 35.9527647], [-83.9298896, 35.9520575], [-83.9300493, 35.9522019], [-83.9299795, 35.952256], [-83.9300213, 35.9522978], [-83.9300921, 35.9522525], [-83.930215, 35.9523643]]]}"
Student Aquatic Center,"{""rings"": [[[-83.9346691, 35.95018], [-83.9345558, 35.9500777], [-83.9348157, 35.9498905], [-83.9347787, 35.9498561], [-83.9351145, 35.9496083], [-83.9351587, 35.9496449], [-83.9354114, 35.949463], [-83.9355225, 35.9495663], [-83.9354438, 35.9496175], [-83.9357321, 35.9498919], [-83.9350495, 35.9503949], [-83.9347454, 35.9501271], [-83.9346691, 35.95018]]]}"
C.E. Brehm Animal Sciences Building,"{""rings"": [[[-83.9424275, 35.9476926], [-83.9420236, 35.9479134], [-83.9418474, 35.9477022], [-83.9419506, 35.9476458], [-83.9418911, 35.9475744], [-83.941985, 35.9475231], [-83.9419193, 35.9474444], [-83.9413128, 35.947776], [-83.9409443, 35.9473343], [-83.9416741, 35.9469353], [-83.9421543, 35.947511], [-83.9422379, 35.9474653], [-83.9424275, 35.9476926]]]}"
Austin Peay Hall,"{""rings"": [[[-83.9269865, 35.9569209], [-83.9270992, 35.9568744], [-83.9271503, 35.9569554], [-83.9270379, 35.9570018], [-83.9272346, 35.9573143], [-83.9271195, 35.9573617], [-83.9271291, 35.957377], [-83.9270153, 35.957424], [-83.9268756, 35.9572021], [-83.926907, 35.9571892], [-83.926753, 35.9569446], [-83.9269502, 35.9568632], [-83.9269865, 35.9569209]]]}"
McClung Tower,"{""rings"": [[[-83.9288266, 35.9540742], [-83.9288189, 35.9540671], [-83.9288277, 35.9540609], [-83.9287888, 35.9540252], [-83.9289293, 35.9539249], [-83.9289681, 35.9539604], [-83.9289749, 35.9539555], [-83.9289835, 35.9539635], [-83.9290253, 35.9539336], [-83.9291496, 35.9540476], [-83.9291093, 35.9540765], [-83.9291163, 35.9540829], [-83.9291082, 35.9540887], [-83.9291462, 35.9541262], [-83.9290027, 35.9542234], [-83.9289652, 35.9541908], [-83.928957, 35.9541966], [-83.9289486, 35.9541889], [-83.9289067, 35.9542188], [-83.9287829, 35.9541054], [-83.9288266, 35.9540742]]]}"
HPER (Physical Education),"{""rings"": [[[-83.9331544, 35.951616], [-83.9328629, 35.9518128], [-83.9329424, 35.9518837], [-83.9325023, 35.9522008], [-83.9324776, 35.9521747], [-83.9324345, 35.9521909], [-83.9321041, 35.9519033], [-83.9321438, 35.951872], [-83.9321144, 35.951842], [-83.9325569, 35.9515314], [-83.9327394, 35.9516808], [-83.933019, 35.9514914], [-83.9328863, 35.9513726], [-83.9331223, 35.9512079], [-83.933512, 35.9515564], [-83.9332778, 35.9517284], [-83.9331544, 35.951616]]]}"
Morgan Hall,"{""rings"": [[[-83.9424199, 35.9490045], [-83.9422989, 35.9490738], [-83.9422808, 35.9490528], [-83.9418492, 35.9492958], [-83.9418646, 35.9493165], [-83.941737, 35.9493859], [-83.9415414, 35.9491519], [-83.9417404, 35.9490448], [-83.9418452, 35.9491652], [-83.9419165, 35.9491243], [-83.9417415, 35.948931], [-83.9418356, 35.9488753], [-83.9418883, 35.9488463], [-83.9420588, 35.949036], [-83.942127, 35.9490016], [-83.9420333, 35.9488809], [-83.9422233, 35.9487704], [-83.9424199, 35.9490045]]]}"
UT Drive Services Building,"{""rings"": [[[-83.934801, 35.9484686], [-83.9347063, 35.9483813], [-83.9350118, 35.9481641], [-83.9349857, 35.94814], [-83.9351152, 35.948048], [-83.9351516, 35.9480815], [-83.9355631, 35.9477891], [-83.9356519, 35.9478709], [-83.9354366, 35.948024], [-83.9352337, 35.9481681], [-83.9352877, 35.9482179], [-83.9351893, 35.9482878], [-83.935131, 35.9482341], [-83.934801, 35.9484686]]]}"
Jessie Harris Building,"{""rings"": [[[-83.9267486, 35.9595282], [-83.9266419, 35.9595691], [-83.9266376, 35.9595614], [-83.9265666, 35.9595893], [-83.9264171, 35.9593299], [-83.9264547, 35.9593161], [-83.9264347, 35.9592805], [-83.9264064, 35.9592331], [-83.9263285, 35.9592627], [-83.9262549, 35.9592878], [-83.926249, 35.9593051], [-83.9262079, 35.9593211], [-83.9261862, 35.9593134], [-83.9260373, 35.9593697], [-83.9260567, 35.9594105], [-83.9259469, 35.9594512], [-83.9258194, 35.9592285], [-83.9259303, 35.959187], [-83.9259463, 35.9592148], [-83.9259625, 35.9592088], [-83.9259914, 35.9592573], [-83.9260099, 35.9592504], [-83.9259742, 35.959191], [-83.9260289, 35.9591704], [-83.9260628, 35.9592306], [-83.9261363, 35.9592031], [-83.926117, 35.9591704], [-83.9261666, 35.9591516], [-83.9261854, 35.9591843], [-83.9263159, 35.9591358], [-83.9262845, 35.9590824], [-83.926337, 35.9590612], [-83.9263413, 35.9590702], [-83.9263545, 35.9590656], [-83.926353, 35.9590612], [-83.9264377, 35.9590291], [-83.9265446, 35.9592114], [-83.926554, 35.9592069], [-83.9265713, 35.9592336], [-83.9265897, 35.9592643], [-83.9265994, 35.9592611], [-83.9267486, 35.9595282]]]}"
School of Information Sciences,"{""rings"": [[[-83.9266678, 35.9523096], [-83.9266198, 35.9521472], [-83.9264869, 35.9521796], [-83.9263645, 35.9522269], [-83.9263028, 35.952129], [-83.9261279, 35.952222], [-83.9260789, 35.9521742], [-83.9260505, 35.9521414], [-83.9260294, 35.9521169], [-83.9260449, 35.9521072], [-83.9260568, 35.9521168], [-83.926074, 35.9521155], [-83.9260863, 35.9521061], [-83.9260833, 35.9520884], [-83.9260285, 35.9520444], [-83.9260613, 35.9520199], [-83.9259155, 35.9518922], [-83.9256224, 35.9520991], [-83.9257575, 35.952232], [-83.9257907, 35.9522099], [-83.925847, 35.9522596], [-83.9258651, 35.9522602], [-83.9258772, 35.9522532], [-83.9258773, 35.9522383], [-83.9258669, 35.952227], [-83.9258833, 35.9522165], [-83.9259099, 35.9522422], [-83.9259415, 35.9522727], [-83.9259905, 35.9523188], [-83.9258733, 35.9524241], [-83.9257512, 35.9525887], [-83.9256716, 35.9527549], [-83.9256361, 35.9528944], [-83.9256261, 35.9530616], [-83.9256496, 35.9532163], [-83.9257158, 35.9534096], [-83.9258243, 35.9535633], [-83.9259352, 35.9536839], [-83.9259962, 35.9536337], [-83.9260328, 35.9536696], [-83.9262019, 35.9535395], [-83.9260664, 35.9533913], [-83.9259667, 35.9531737], [-83.9259471, 35.9530195], [-83.9259676, 35.9528832], [-83.9260549, 35.9526962], [-83.9261558, 35.9525755], [-83.9262748, 35.9524739], [-83.9264196, 35.9523932], [-83.9265341, 35.952347], [-83.9266678, 35.9523096]]]}"
TREC,"{""rings"": [[[-83.9348912, 35.9489032], [-83.9344175, 35.9492465], [-83.9344402, 35.9492678], [-83.934454, 35.9492854], [-83.934468, 35.9493107], [-83.9344797, 35.9493395], [-83.9344821, 35.9493644], [-83.9344816, 35.9493892], [-83.9344754, 35.9494133], [-83.9344674, 35.9494322], [-83.9344522, 35.9494545], [-83.9344348, 35.9494708], [-83.9344164, 35.9494809], [-83.9343913, 35.9494874], [-83.9343642, 35.9494911], [-83.9343366, 35.9494892], [-83.9342931, 35.9495187], [-83.9343267, 35.9495505], [-83.9342728, 35.9495908], [-83.933765, 35.9491284], [-83.9338267, 35.9490882], [-83.9338574, 35.9491168], [-83.9339112, 35.9490783], [-83.9338538, 35.9490195], [-83.9345173, 35.9485522], [-83.9347124, 35.9487451], [-83.9347456, 35.9487265], [-83.934849, 35.9488164], [-83.9348158, 35.9488391], [-83.9348912, 35.9489032]]]}"
Ferris Hall,"{""rings"": [[[-83.9234225, 35.9569104], [-83.923502, 35.9569816], [-83.9234053, 35.9570552], [-83.923274, 35.9569357], [-83.923344, 35.9567644], [-83.9231911, 35.9567248], [-83.9232398, 35.9566037], [-83.9233919, 35.9566447], [-83.9234541, 35.9564902], [-83.9236113, 35.9564258], [-83.9236682, 35.9565185], [-83.9235628, 35.9565663], [-83.923513, 35.9566884], [-83.9235245, 35.9566912], [-83.9235151, 35.9567122], [-83.923523, 35.9567141], [-83.9234999, 35.95677], [-83.9234916, 35.9567688], [-83.9234831, 35.9567903], [-83.9234723, 35.9567881], [-83.9234225, 35.9569104]]]}"
Hesler Hall,"{""rings"": [[[-83.9267773, 35.956665], [-83.9268479, 35.9567824], [-83.9266942, 35.9568445], [-83.9266139, 35.9567238], [-83.9265827, 35.956716], [-83.9265631, 35.9567112], [-83.9265444, 35.9567066], [-83.9262367, 35.9566239], [-83.9262167, 35.9566185], [-83.9261981, 35.9566139], [-83.926193, 35.9566276], [-83.9260815, 35.9565973], [-83.9260787, 35.9566022], [-83.9260083, 35.9565834], [-83.9260107, 35.9565781], [-83.9258983, 35.9565476], [-83.9259244, 35.9564824], [-83.9259016, 35.9564758], [-83.9258572, 35.9564948], [-83.9258163, 35.9564291], [-83.9258512, 35.9563633], [-83.9258893, 35.9562913], [-83.9260487, 35.9563325], [-83.9260547, 35.9563202], [-83.9261686, 35.9563472], [-83.9262634, 35.956374], [-83.9262466, 35.9564222], [-83.9262745, 35.9564282], [-83.9263044, 35.9563553], [-83.9266032, 35.9564356], [-83.9265546, 35.9565568], [-83.926555, 35.9565636], [-83.9266136, 35.9565791], [-83.9266606, 35.9565582], [-83.9266605, 35.956549], [-83.9266817, 35.9565405], [-83.9266908, 35.956546], [-83.926806, 35.9564957], [-83.9268849, 35.9566216], [-83.9267773, 35.956665]]]}"
Clarence Brown Theatre,"{""rings"": [[[-83.9304156, 35.9533755], [-83.9303428, 35.9533089], [-83.9302825, 35.9533479], [-83.9302535, 35.9533209], [-83.9305535, 35.9531037], [-83.9304239, 35.9529844], [-83.9305432, 35.9529008], [-83.9306836, 35.9530189], [-83.9307622, 35.9529572], [-83.9307914, 35.9529841], [-83.9307238, 35.9530378], [-83.9307376, 35.9530517], [-83.9307732, 35.9530262], [-83.9308124, 35.9530618], [-83.9307677, 35.9530947], [-83.9308474, 35.9531673], [-83.9308919, 35.9531382], [-83.930937, 35.9531789], [-83.9309015, 35.9532022], [-83.9309128, 35.953215], [-83.930987, 35.9531658], [-83.9310144, 35.9531904], [-83.9309292, 35.9532468], [-83.9310274, 35.9533355], [-83.9308875, 35.9534327], [-83.9307986, 35.9533501], [-83.9306307, 35.9534697], [-83.9306723, 35.9535096], [-83.9305983, 35.9535638], [-83.9305538, 35.9535226], [-83.9305049, 35.9535559], [-83.9304752, 35.9535282], [-83.9305357, 35.9534849], [-83.9304606, 35.9534147], [-83.9304083, 35.9534517], [-83.9303658, 35.953411], [-83.9304156, 35.9533755]]]}"
Nursing Building,"{""rings"": [[[-83.927358, 35.9538564], [-83.9274234, 35.9538065], [-83.9274881, 35.9538668], [-83.9274118, 35.9539165], [-83.9273947, 35.953893], [-83.9273705, 35.9539086], [-83.9274438, 35.9539761], [-83.927447, 35.9539863], [-83.9274321, 35.9539989], [-83.9274184, 35.9539957], [-83.9273995, 35.953979], [-83.9273824, 35.9539882], [-83.9273972, 35.9540029], [-83.9271675, 35.9541683], [-83.9271475, 35.9541525], [-83.9271334, 35.9541655], [-83.9271585, 35.9541897], [-83.9271531, 35.9542009], [-83.9271427, 35.9542065], [-83.9271252, 35.9542016], [-83.9270466, 35.9541228], [-83.927088, 35.9540936], [-83.9273202, 35.9539371], [-83.9272429, 35.9538554], [-83.9269687, 35.9540485], [-83.9268808, 35.9539681], [-83.9268667, 35.9539566], [-83.9268566, 35.9539415], [-83.926862, 35.9539336], [-83.9268733, 35.9539281], [-83.9268843, 35.9539288], [-83.9269066, 35.9539501], [-83.9269287, 35.9539346], [-83.926912, 35.9539186], [-83.927139, 35.9537597], [-83.9271563, 35.9537759], [-83.927173, 35.953763], [-83.9271475, 35.953742], [-83.9271482, 35.9537316], [-83.9271573, 35.9537242], [-83.9271708, 35.9537236], [-83.9272797, 35.9538232], [-83.9273021, 35.9538036], [-83.927222, 35.9537308], [-83.9273089, 35.9536735], [-83.9273991, 35.9536753], [-83.9274725, 35.9537453], [-83.9273404, 35.9538367], [-83.927358, 35.9538564]]]}"
Fleet Management,"{""rings"": [[[-83.9356499, 35.94894], [-83.9355347, 35.949032], [-83.9348639, 35.9484817], [-83.934979, 35.9483898], [-83.9356499, 35.94894]]]}"
University of Tennessee Early Learning Center,"{""rings"": [[[-83.9263238, 35.9597872], [-83.9260788, 35.9598786], [-83.9259996, 35.9597429], [-83.9260782, 35.9597157], [-83.9260615, 35.9596897], [-83.9261506, 35.9596533], [-83.9261617, 35.9596687], [-83.9262358, 35.9596385], [-83.9263238, 35.9597872]]]}"
Business Incubator,"{""rings"": [[[-83.9393865, 35.9473374], [-83.9391033, 35.947491], [-83.9390477, 35.9474238], [-83.9390625, 35.9474158], [-83.9390048, 35.9473484], [-83.9389918, 35.9473557], [-83.9389398, 35.9472949], [-83.939219, 35.9471383], [-83.939271, 35.9471991], [-83.9392435, 35.9472145], [-83.9393038, 35.9472849], [-83.9393309, 35.9472702], [-83.9393865, 35.9473374]]]}"
Greenhouse #14,"{""rings"": [[[-83.9388778, 35.9464325], [-83.9384564, 35.9466518], [-83.9384105, 35.9465939], [-83.9388318, 35.9463746], [-83.9388778, 35.9464325]]]}"
Environmental & Landscape Lab,"{""rings"": [[[-83.9376449, 35.9449659], [-83.9373014, 35.9451562], [-83.9371821, 35.945014], [-83.9375275, 35.9448173], [-83.9376449, 35.9449659]]]}"
Lake Avenue Parking Garage,"{""rings"": [[[-83.935322, 35.9541924], [-83.934498, 35.9545646], [-83.9343751, 35.9543862], [-83.934343, 35.9544007], [-83.9343088, 35.9543509], [-83.934342, 35.9543359], [-83.9342204, 35.9541594], [-83.9343616, 35.9540957], [-83.93459, 35.9539926], [-83.9345745, 35.9539701], [-83.9346574, 35.9539327], [-83.934672, 35.9539539], [-83.9350388, 35.9537884], [-83.9351607, 35.9539654], [-83.9351947, 35.9539501], [-83.9352298, 35.9540011], [-83.9351995, 35.9540147], [-83.935322, 35.9541924]]]}"
Allan Jones Intercollegiate Aquatics Center,"{""rings"": [[[-83.936134, 35.9495559], [-83.9357945, 35.9492489], [-83.936604, 35.9486622], [-83.9369435, 35.9489692], [-83.936134, 35.9495559]]]}"
CRC/BEST Laboratory,"{""rings"": [[[-83.9373779, 35.9455216], [-83.9372345, 35.9455994], [-83.9369306, 35.945244], [-83.9369379, 35.9452399], [-83.936928, 35.9452273], [-83.9369166, 35.9452323], [-83.936873, 35.9451805], [-83.9369936, 35.9451144], [-83.9370317, 35.9451617], [-83.9369714, 35.9451952], [-83.9369863, 35.9452145], [-83.9370776, 35.9451625], [-83.9373779, 35.9455216]]]}"
CRC/MAST Laboratory,"{""rings"": [[[-83.9378685, 35.9452292], [-83.9375315, 35.9454211], [-83.9374345, 35.9453095], [-83.9373593, 35.9452225], [-83.9376166, 35.9450806], [-83.9376878, 35.9451712], [-83.9377769, 35.945121], [-83.9378685, 35.9452292]]]}"
Henson Hall,"{""rings"": [[[-83.9309849, 35.9565592], [-83.930837, 35.9566098], [-83.9308407, 35.956617], [-83.9307608, 35.9566444], [-83.9307527, 35.9566288], [-83.9307088, 35.9566438], [-83.930706, 35.9566518], [-83.9306927, 35.956656], [-83.9306835, 35.9566524], [-83.9305968, 35.9566819], [-83.9305994, 35.9566869], [-83.9305738, 35.9566956], [-83.9305712, 35.9566906], [-83.9305298, 35.9567048], [-83.9305334, 35.9567118], [-83.9304525, 35.9567395], [-83.9303898, 35.9566194], [-83.9306551, 35.9565287], [-83.9306427, 35.9565049], [-83.9307639, 35.9564634], [-83.9307841, 35.956502], [-83.9309291, 35.9564524], [-83.9309849, 35.9565592]]]}"
