name,coordinates
Claxton Hall,"{""rings"": [[[-83.9278329, 35.9544891], [-83.927312, 35.954461], [-83.9273173, 35.9543999], [-83.9272796, 35.9544261], [-83.9271915, 35.9543458], [-83.9272866, 35.9542787], [-83.9277375, 35.9543047], [-83.9277405, 35.9542657], [-83.9278437, 35.9542707], [-83.9279694, 35.9543875], [-83.927896, 35.9544393], [-83.9278898, 35.9544335], [-83.9278699, 35.9544477], [-83.9278759, 35.9544553], [-83.9278329, 35.9544891]]]}"
Claxton Hall,"{""rings"": [[[-83.9278701, 35.9545442], [-83.9278558, 35.9545308], [-83.9279346, 35.9544756], [-83.92795, 35.95449], [-83.9280135, 35.9544456], [-83.9283687, 35.9547787], [-83.9282085, 35.9548907], [-83.9283883, 35.9550593], [-83.9282736, 35.9551395], [-83.9282272, 35.9550961], [-83.9282161, 35.9551039], [-83.9279633, 35.9548679], [-83.9279889, 35.9548499], [-83.9279724, 35.9548345], [-83.9280576, 35.9547745], [-83.9281023, 35.9548163], [-83.9281391, 35.9547904], [-83.9279895, 35.954651], [-83.927804, 35.9547815], [-83.9277553, 35.9547361], [-83.9277099, 35.954768], [-83.9276419, 35.9547045], [-83.9278701, 35.9545442]]]}"
Clement Hall,"{""rings"": [[[-83.93195, 35.9569762], [-83.9320424, 35.9571422], [-83.9321435, 35.9571054], [-83.9322373, 35.957274], [-83.9321383, 35.95731], [-83.9321742, 35.9573745], [-83.9326235, 35.9572109], [-83.9326883, 35.9573274], [-83.9320204, 35.9575708], [-83.931957, 35.9574569], [-83.9320377, 35.9574275], [-83.9318142, 35.9570257], [-83.93195, 35.9569762]]]}"
Dougherty Hall,"{""rings"": [[[-83.9244163, 35.958273], [-83.9242151, 35.9583525], [-83.9241948, 35.9583594], [-83.9239683, 35.9579971], [-83.9236164, 35.9574311], [-83.923539, 35.9574616], [-83.9234932, 35.9573857], [-83.9235963, 35.957345], [-83.9236316, 35.9574036], [-83.9238418, 35.9573206], [-83.9244163, 35.958273]]]}"
James A. Haslam II Business Building,"{""rings"": [[[-83.9290982, 35.955804], [-83.9290856, 35.9558083], [-83.9290881, 35.9558124], [-83.9290101, 35.9558432], [-83.9290065, 35.955837], [-83.9289912, 35.9558433], [-83.9289838, 35.9558315], [-83.9288949, 35.955864], [-83.9289017, 35.9558767], [-83.9288768, 35.9558865], [-83.92889, 35.9559082], [-83.9287742, 35.9559515], [-83.9287652, 35.9559338], [-83.9287049, 35.955957], [-83.9287142, 35.9559728], [-83.9285342, 35.9560407], [-83.9285075, 35.9560509], [-83.928495, 35.9560291], [-83.928477, 35.956036], [-83.9282661, 35.9556694], [-83.9282884, 35.9556615], [-83.9282791, 35.9556451], [-83.9283424, 35.9556208], [-83.9283351, 35.9556064], [-83.9284777, 35.955553], [-83.9284857, 35.9555681], [-83.9285448, 35.9555459], [-83.9285361, 35.9555308], [-83.9286567, 35.9554863], [-83.9286284, 35.9554395], [-83.9286448, 35.9554328], [-83.9286516, 35.9554216], [-83.9286617, 35.9554123], [-83.9286733, 35.9554037], [-83.9286862, 35.9553979], [-83.9287002, 35.9553937], [-83.9287162, 35.9553925], [-83.9287305, 35.9553935], [-83.9287438, 35.9553972], [-83.9287619, 35.9553892], [-83.9287731, 35.9554102], [-83.9288452, 35.9553823], [-83.9288514, 35.9553903], [-83.9288612, 35.9553849], [-83.9289592, 35.9555563], [-83.9289646, 35.9555547], [-83.9289687, 35.9555636], [-83.928976, 35.9555615], [-83.9290085, 35.9556205], [-83.9290017, 35.9556234], [-83.9290071, 35.9556318], [-83.9290013, 35.9556339], [-83.9290982, 35.955804]]]}"
John C. Hodges Library,"{""rings"": [[[-83.9303774, 35.9552198], [-83.9302897, 35.9552483], [-83.9303225, 35.955307], [-83.9296536, 35.9555603], [-83.9296097, 35.9554813], [-83.9295908, 35.9554883], [-83.9296042, 35.9555101], [-83.9294795, 35.9555572], [-83.9294036, 35.9554135], [-83.9294351, 35.955403], [-83.92939, 35.9553633], [-83.9293548, 35.9553153], [-83.9293223, 35.9552123], [-83.9292913, 35.9552188], [-83.9292134, 35.9550788], [-83.9293322, 35.9550357], [-83.9293424, 35.955056], [-83.9293635, 35.9550487], [-83.929308, 35.9549576], [-83.9293979, 35.9549297], [-83.9293835, 35.9549043], [-83.9294648, 35.9548749], [-83.929457, 35.9548514], [-83.9295352, 35.954823], [-83.9295209, 35.9547945], [-83.9295979, 35.9547679], [-83.9295865, 35.9547463], [-83.9296742, 35.954717], [-83.9296631, 35.954692], [-83.9297441, 35.954662], [-83.929728, 35.9546362], [-83.9298135, 35.9546073], [-83.9297996, 35.9545839], [-83.9298853, 35.9545491], [-83.9299827, 35.9547046], [-83.9300192, 35.9546922], [-83.9300672, 35.9546759], [-83.9301409, 35.9548066], [-83.9302233, 35.95478], [-83.9302609, 35.9548464], [-83.930384, 35.954879], [-83.9304656, 35.9550253], [-83.9303824, 35.9550602], [-83.9304208, 35.9551221], [-83.9303382, 35.9551514], [-83.9303774, 35.9552198]]]}"
Hoskins Library,"{""rings"": [[[-83.9284427, 35.9588603], [-83.9280552, 35.9590124], [-83.9280021, 35.9589169], [-83.9277741, 35.9590094], [-83.9277907, 35.9590349], [-83.9276766, 35.9590776], [-83.9274727, 35.9587494], [-83.9275951, 35.9587013], [-83.9276216, 35.9587437], [-83.9276803, 35.9587165], [-83.927672, 35.9586871], [-83.9277653, 35.9586498], [-83.9277878, 35.9586852], [-83.9281174, 35.9585513], [-83.9281056, 35.9585299], [-83.9281727, 35.9585015], [-83.9281894, 35.9585222], [-83.9282334, 35.9585115], [-83.9282619, 35.9585603], [-83.9282894, 35.9585566], [-83.9284399, 35.9587899], [-83.9284054, 35.9588018], [-83.9284427, 35.9588603]]]}"
Massey Hall,"{""rings"": [[[-83.9316219, 35.9560868], [-83.9316389, 35.9561206], [-83.9316311, 35.9561229], [-83.9316626, 35.9561827], [-83.931552, 35.9562221], [-83.9315504, 35.9562189], [-83.931463, 35.9562487], [-83.9314533, 35.9562307], [-83.9312466, 35.9563034], [-83.9311934, 35.9562019], [-83.931488, 35.9560993], [-83.9313195, 35.9557808], [-83.931026, 35.9558836], [-83.9309722, 35.9557826], [-83.9312671, 35.955681], [-83.9312546, 35.9556584], [-83.931365, 35.9556199], [-83.9313979, 35.9556799], [-83.9314074, 35.9556772], [-83.9314233, 35.9557107], [-83.9314286, 35.955709], [-83.9314611, 35.9557758], [-83.9316267, 35.9560852], [-83.9316219, 35.9560868]]]}"
McClung Museum,"{""rings"": [[[-83.9271886, 35.9521446], [-83.9270815, 35.9522175], [-83.9270111, 35.9521533], [-83.9271406, 35.9520589], [-83.9269692, 35.9519019], [-83.9271144, 35.9517981], [-83.9271254, 35.9518098], [-83.9271511, 35.9517945], [-83.9271923, 35.9518329], [-83.9271672, 35.9518493], [-83.9272352, 35.9519135], [-83.927249, 35.9519041], [-83.9272587, 35.9519141], [-83.9273142, 35.9518759], [-83.9274221, 35.9519751], [-83.9273884, 35.9519999], [-83.9274731, 35.9520802], [-83.927442, 35.9521011], [-83.927455, 35.952115], [-83.9273125, 35.9522159], [-83.9272995, 35.9522055], [-83.927274, 35.9522243], [-83.9271886, 35.9521446]]]}"
McCord Hall,"{""rings"": [[[-83.9432568, 35.9486326], [-83.9428411, 35.9488566], [-83.9427226, 35.9487126], [-83.9430532, 35.9485344], [-83.9430174, 35.9484909], [-83.9431025, 35.948445], [-83.9432568, 35.9486326]]]}"
